country,tweets
United States of America,1185
United Kingdom of Great Britain and Northern Ireland,288
Canada,134
Australia,53
India,44
Philippines,29
France,28
Italy,27
Kenya,24
South Africa,22
Brazil,20
Nigeria,20
Romania,17
Ireland,17
Netherlands,17
Indonesia,15
New Zealand,15
Germany,12
China,12
Finland,11
Japan,11
Spain,10
Portugal,8
Singapore,8
Argentina,8
Sweden,8
Denmark,7
Ethiopia,7
Russian Federation,7
Colombia,6
Poland,6
Mexico,6
Pakistan,6
Malaysia,6
Norway,6
Switzerland,6
Peru,6
Panama,5
Barbados,5
Ecuador,4
Chile,4
Dominican Republic,4
United Arab Emirates,4
Czechia,4
Saudi Arabia,4
Thailand,4
Costa Rica,3
Kazakhstan,3
Liberia,3
"Korea, Republic of",3
"Venezuela, Bolivarian Republic of",3
Belgium,3
Ghana,3
"Iran, Islamic Republic of",3
Jersey,3
Egypt,3
Hungary,3
Morocco,3
Jamaica,3
"Congo, Democratic Republic of the",2
Turkey,2
Bosnia and Herzegovina,2
Albania,2
Viet Nam,2
Lao People's Democratic Republic,2
Honduras,2
Trinidad and Tobago,2
Tunisia,2
Israel,2
Austria,2
Bulgaria,2
Belarus,1
Slovenia,1
Cyprus,1
Serbia,1
Sudan,1
Somalia,1
Botswana,1
Lithuania,1
Libya,1
Turkmenistan,1
"Moldova, Republic of",1
Cambodia,1
Guernsey,1
Greece,1
Armenia,1
Uganda,1
Azerbaijan,1
"Palestine, State of",1
Sierra Leone,1
Sri Lanka,1
Seychelles,1
Ukraine,1
Bangladesh,1
Togo,1
Fiji,1
South Sudan,1
Nepal,1
Maldives,1
Mozambique,1
Estonia,1
Mongolia,1
