country,tweets
United States of America,892
United Kingdom of Great Britain and Northern Ireland,177
Canada,126
India,94
Australia,66
Nigeria,52
France,21
Kenya,19
Pakistan,19
Indonesia,18
Germany,18
Philippines,16
Italy,13
Netherlands,13
New Zealand,12
South Africa,11
Ireland,10
China,9
Argentina,9
Dominican Republic,8
Japan,8
Spain,8
Romania,7
Chad,7
Peru,6
Thailand,6
Switzerland,6
Israel,6
Egypt,6
Sweden,6
Mexico,5
Saudi Arabia,5
United Arab Emirates,5
"Venezuela, Bolivarian Republic of",5
Brazil,5
Russian Federation,5
Ukraine,5
Denmark,5
Malaysia,5
Lao People's Democratic Republic,4
Poland,4
Viet Nam,4
Finland,4
Jamaica,4
Norway,4
Czechia,3
Belgium,3
Haiti,3
Greece,3
Ethiopia,3
Somalia,3
Singapore,3
Chile,2
Bangladesh,2
Barbados,2
Cuba,2
Ghana,2
Trinidad and Tobago,2
Kuwait,2
Iraq,2
Portugal,2
Jordan,2
Bahrain,1
Uruguay,1
Uganda,1
Slovenia,1
Senegal,1
Saint Lucia,1
Oman,1
Cyprus,1
Cambodia,1
Turkey,1
Malawi,1
Zimbabwe,1
Maldives,1
Mauritius,1
Lebanon,1
"Palestine, State of",1
Guatemala,1
Sri Lanka,1
Jersey,1
Syrian Arab Republic,1
Ecuador,1
Sierra Leone,1
"Korea, Republic of",1
Libya,1
Cameroon,1
Azerbaijan,1
"Congo, Democratic Republic of the",1
Mongolia,1
"Tanzania, United Republic of",1
Afghanistan,1
Colombia,1
